start	dup	noortho
17660194	0	3
17840837	0	0
18043139	1	2
18074902	3	1
18111621	0	0
18216906	0	0
18270415	2	0
18560689	1	2
18593097	0	0
18632666	0	0
18834324	12	0
18893541	4	1
18900294	1	3
19023795	3	0
19117792	0	0
19118321	1	0
19136089	0	6
19163095	2	0
19166986	0	7
19318221	1	0
19338891	0	0
19419425	1	1
19437433	2	0
19466982	1	0
19510547	0	4
19701987	0	3
19710468	0	6
19744226	0	3
19770747	1	1
19833661	0	7
19863040	0	0
19929130	1	0
19957419	1	0
20004537	1	0
20067755	0	0
20099389	0	0
20103461	2	0
20116979	0	0
20135950	0	3
20228938	0	3
20301799	4	1
20366206	2	0
20456003	0	4
20704868	0	0
20748405	1	4
20778874	1	1
20783528	1	0
20850200	1	0
21061979	1	0
21128167	0	0
21213271	1	0
21271714	0	0
21319396	0	1
21333751	0	1
21353393	0	0
21364097	1	0
21383007	1	0
21400249	0	5
21477050	12	0
21562262	2	0
21737663	0	4
21771693	0	1
21899646	0	4
21903736	1	0
21982378	0	1
21987005	0	0
21996550	0	0
22006559	0	1
22051833	0	1
22108789	0	0
22273793	0	0
22311397	0	1
22599087	5	3
