start	dup	noortho
34136459	3	0
34181955	0	0
34198495	0	1
34245070	2	2
34261522	1	1
34303529	2	3
34310327	0	4
34323476	3	2
34493061	7	3
34580902	7	3
34581086	7	3
34623842	1	0
34745936	7	3
34842473	1	0
34851477	0	0
34890847	0	2
34900737	0	0
34948228	1	0
34958001	0	0
35294084	0	0
35306175	0	0
35441923	0	0
35732928	0	2
35766965	1	0
35849937	1	0
35874900	0	1
35969787	1	0
36046435	0	0
36283971	7	3
36337711	7	3
36337717	2	0
36452989	4	0
36481413	0	0
36508111	0	0
36584662	1	2
36686251	0	0
36827961	0	4
36861795	0	1
